"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","233.20","232.33","233.26","231.05","5.08M","1.18%"
"Dec 28, 2018","230.48","232.71","233.81","229.67","7.27M","-0.34%"
"Dec 27, 2018","231.26","225.54","231.37","222.53","7.95M","1.11%"
"Dec 26, 2018","228.71","219.19","228.74","216.97","9.76M","4.86%"
"Dec 24, 2018","218.10","222.50","223.31","217.88","7.02M","-2.67%"
"Dec 21, 2018","224.09","229.01","232.47","223.85","10.24M","-2.10%"
"Dec 20, 2018","228.89","232.59","233.37","226.95","11.91M","-1.94%"
"Dec 19, 2018","233.42","237.55","241.20","232.07","9.55M","-1.66%"
"Dec 18, 2018","237.36","238.44","239.81","235.67","5.35M","0.39%"
"Dec 17, 2018","236.43","240.04","241.40","235.05","7.04M","-2.07%"
"Dec 14, 2018","241.42","244.06","244.83","240.82","6.59M","-1.97%"
"Dec 13, 2018","246.27","246.42","247.86","245.17","4.46M","0.16%"
"Dec 12, 2018","245.88","247.39","248.76","245.65","3.73M","0.68%"
"Dec 11, 2018","244.23","248.44","248.50","242.66","5.65M","-0.20%"
"Dec 10, 2018","244.71","243.94","245.49","239.25","6.02M","0.16%"
"Dec 07, 2018","244.31","249.66","251.41","243.29","5.96M","-2.17%"
"Dec 06, 2018","249.72","246.36","249.87","242.82","8.23M","-0.40%"
"Dec 04, 2018","250.73","257.64","258.04","250.38","5.38M","-3.09%"
"Dec 03, 2018","258.73","260.17","260.30","257.02","9.52M","1.26%"
"Nov 30, 2018","255.51","253.10","255.84","252.83","2.99M","0.76%"
"Nov 29, 2018","253.59","253.60","254.97","252.22","3.47M","-0.10%"
"Nov 28, 2018","253.84","249.12","253.84","248.59","5.13M","2.56%"
"Nov 27, 2018","247.50","245.18","247.53","244.14","2.93M","0.45%"
"Nov 26, 2018","246.39","244.87","246.73","244.68","3.44M","1.47%"
"Nov 23, 2018","242.81","243.25","244.03","242.71","1.93M","-0.75%"
"Nov 21, 2018","244.65","245.84","246.63","244.58","4.26M","0.06%"
"Nov 20, 2018","244.50","246.36","246.93","243.53","7.34M","-2.15%"
"Nov 19, 2018","249.86","253.61","253.78","248.84","4.25M","-1.65%"
"Nov 16, 2018","254.05","251.79","254.96","251.34","4.53M","0.33%"
"Nov 15, 2018","253.22","250.20","254.00","248.35","5.67M","0.92%"
"Nov 14, 2018","250.91","255.02","255.29","249.67","5.61M","-0.85%"
"Nov 13, 2018","253.06","253.83","255.37","252.23","3.94M","-0.46%"
"Nov 12, 2018","254.22","259.70","259.92","253.68","10.15M","-2.26%"
"Nov 09, 2018","260.09","261.16","261.45","259.04","4.39M","-0.77%"
"Nov 08, 2018","262.10","261.53","262.97","260.97","4.02M","0.12%"
